2022-10-21 17:39:30,692 |     INFO | 192.168.1.144:49854 | READ
2022-10-21 17:51:11,129 |     INFO | 192.168.1.119:54379 | READ
2022-10-21 17:51:12,305 |     INFO | 192.168.1.119:54379 | READ
2022-10-21 17:53:44,084 |     INFO | 192.168.1.144:50268 | READ
2022-10-21 17:53:45,275 |     INFO | 192.168.1.144:50268 | READ
2022-10-21 17:57:23,178 |     INFO | 192.168.1.119:62912 | READ
2022-10-21 17:57:24,279 |     INFO | 192.168.1.119:62912 | READ
2022-10-21 17:57:25,262 |     INFO | 192.168.1.119:62912 | READ
2022-10-21 17:57:26,113 |     INFO | 192.168.1.119:62912 | READ
2022-10-21 17:58:37,099 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:40,074 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:43,260 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:44,178 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:45,056 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:45,794 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:46,538 |     INFO | 192.168.1.119:65287 | READ
2022-10-21 17:58:47,267 |     INFO | 192.168.1.119:65287 | READ
2022-10-24 10:01:45,973 |     INFO | 192.168.1.144:59229 | READ
2022-10-24 10:01:50,130 |     INFO | 192.168.1.144:59229 | READ
2022-10-24 10:01:51,513 |     INFO | 192.168.1.144:59229 | READ
2022-10-24 10:01:52,653 |     INFO | 192.168.1.144:59229 | READ
2022-10-24 10:02:04,665 |     INFO | 192.168.1.144:59239 | READ
2022-10-24 10:02:07,700 |     INFO | 192.168.1.144:59239 | READ
2022-10-24 10:02:13,722 |     INFO | 192.168.1.144:59246 | READ
2022-10-24 10:02:25,190 |     INFO | 192.168.1.144:55753 | READ
2022-10-24 10:02:34,152 |     INFO | 192.168.1.144:55759 | READ
2022-10-24 10:02:45,538 |     INFO | 192.168.1.144:55765 | READ
2022-10-24 10:02:52,902 |     INFO | 192.168.1.144:55770 | READ
2022-10-24 10:02:54,957 |     INFO | 192.168.1.144:55770 | READ
2022-10-24 15:08:04,722 |     INFO | 192.168.1.144:60508 | READ
2022-10-24 15:08:06,773 |     INFO | 192.168.1.144:60508 | READ
2022-10-24 15:08:08,029 |     INFO | 192.168.1.144:60508 | READ
2022-10-24 15:23:17,165 |     INFO | 192.168.1.144:59444 | READ
2022-10-24 15:23:18,444 |     INFO | 192.168.1.144:59444 | READ
2022-10-24 15:23:20,740 |     INFO | 192.168.1.144:59444 | READ
2022-10-24 15:25:17,072 |     INFO | 192.168.1.144:60969 | READ
2022-10-25 13:32:20,457 |     INFO | 192.168.1.144:53179 | READ
2022-10-25 13:32:33,534 |     INFO | 192.168.1.144:53181 | READ
2022-10-25 13:32:56,591 |     INFO | 192.168.1.144:52312 | READ
2022-10-25 13:38:51,324 |     INFO | 192.168.1.144:49662 | READ
2022-10-25 13:39:19,675 |     INFO | 192.168.1.144:49675 | READ
2022-10-25 13:41:34,255 |     INFO | 192.168.1.144:50238 | READ
2022-10-25 13:41:36,208 |     INFO | 192.168.1.144:50238 | READ
2022-10-25 13:41:37,441 |     INFO | 192.168.1.144:50238 | READ
2022-10-25 13:41:38,599 |     INFO | 192.168.1.144:50238 | READ
2022-10-25 13:41:39,852 |     INFO | 192.168.1.144:50238 | READ
2022-10-25 13:41:54,200 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:41:57,268 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:41:58,430 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:41:59,321 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:00,236 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:01,042 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:01,924 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:02,772 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:03,621 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:04,522 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:05,403 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:06,271 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:07,078 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:07,852 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:08,665 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:42:09,542 |     INFO | 192.168.1.144:50242 | READ
2022-10-25 13:43:18,517 |     INFO | 192.168.1.144:50252 | READ
2022-10-25 13:43:54,614 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 13:43:59,490 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 13:44:00,588 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 13:44:01,488 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 13:44:02,343 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 13:44:03,154 |     INFO | 192.168.1.144:51090 | READ
2022-10-25 14:15:04,188 |     INFO | 192.168.1.144:53568 | READ
2022-10-25 14:15:07,041 |     INFO | 192.168.1.144:53568 | READ
2022-10-25 14:15:08,072 |     INFO | 192.168.1.144:53568 | READ
2022-10-25 14:37:51,632 |     INFO | 192.168.1.144:64927 | READ
2022-10-25 14:37:57,520 |     INFO | 192.168.1.144:64928 | READ
2022-10-25 14:38:09,866 |     INFO | 192.168.1.144:64935 | READ
2022-10-25 14:59:08,763 |     INFO | 192.168.1.144:57173 | READ
2022-10-25 14:59:10,652 |     INFO | 192.168.1.144:57173 | READ
